Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,CorrectExplanation,IncorrectExplanation
M30M-ME5-N3,TMC,"Pregunta 1",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 2",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTk0MQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTk0MQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 3",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 4",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 5",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 6",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 7",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 8",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTk0MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTk0MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 9",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 10",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxNw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxNw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
