Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,CorrectExplanation,IncorrectExplanation
M30M-GA10-N1,TMC,"Pregunta 1",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0OA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0OA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 2",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg3NQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg3NQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 3",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0OQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0OQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 4",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2NQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2NQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 5",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2OA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2OA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 6",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg3Mg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg3Mg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 7",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg1MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg1MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 8",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0Nw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg0Nw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 9",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2MA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-GA10-N1,TMC,"Pregunta 10",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2Nw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0Mzg2Nw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
